,attributes_tischtennisplatten,geometry,lat,lon
555,3,POINT (7.031822158348123 50.92810465568228),50.92810465568228,7.031822158348123
556,1,POINT (7.034562751169685 50.93279222543504),50.93279222543504,7.034562751169685
557,1,POINT (7.032349755165787 50.85867914488592),50.85867914488592,7.032349755165787
558,1,POINT (7.031187291677061 50.92075518911034),50.92075518911034,7.031187291677061
561,2,POINT (7.061066505886036 50.942925632259325),50.942925632259325,7.061066505886036
567,1,POINT (7.056544496177141 50.94559391112948),50.94559391112948,7.056544496177141
568,1,POINT (7.077132259351979 50.94351401094871),50.94351401094871,7.077132259351979
569,1,POINT (7.084065932939165 50.92316106985377),50.92316106985377,7.084065932939165
570,2,POINT (7.0868289674969756 50.91812187700762),50.91812187700762,7.0868289674969756
575,1,POINT (7.056554802599065 50.93031864206327),50.93031864206327,7.056554802599065
577,3,POINT (7.061119024059511 50.93464099556906),50.93464099556906,7.061119024059511
581,2,POINT (7.0042409611632825 50.959162651102105),50.959162651102105,7.0042409611632825
587,1,POINT (7.002816717187235 50.96654515633083),50.96654515633083,7.002816717187235
588,1,POINT (7.005045944543313 50.96729666943833),50.96729666943833,7.005045944543313
589,1,POINT (7.010809139990796 50.96335323269305),50.96335323269305,7.010809139990796
592,1,POINT (7.007257487906888 50.98079766577885),50.98079766577885,7.007257487906888
594,2,POINT (7.052920129277549 50.932137958367214),50.932137958367214,7.052920129277549
602,1,POINT (7.009684935065089 50.95281071452597),50.95281071452597,7.009684935065089
606,2,POINT (7.023679489994115 50.963203214765706),50.963203214765706,7.023679489994115
607,1,POINT (7.041818777848464 50.9681762901519),50.9681762901519,7.041818777848464
609,1,POINT (7.043954310234865 50.97146188506838),50.97146188506838,7.043954310234865
610,1,POINT (7.054775172725897 50.974456427473214),50.974456427473214,7.054775172725897
612,1,POINT (7.0525299352274144 50.975042174992566),50.975042174992566,7.0525299352274144
615,1,POINT (7.057636601454929 50.97270174988805),50.97270174988805,7.057636601454929
616,1,POINT (7.045894538601779 50.95753191076972),50.95753191076972,7.045894538601779
622,1,POINT (7.065304109770356 50.96420743860133),50.96420743860133,7.065304109770356
623,2,POINT (7.064206129239555 50.97019330183324),50.97019330183324,7.064206129239555
625,2,POINT (7.077599843668453 50.97623872975883),50.97623872975883,7.077599843668453
626,1,POINT (7.050416661452398 50.977033666307406),50.977033666307406,7.050416661452398
627,1,POINT (7.00012371656416 50.94862199127049),50.94862199127049,7.00012371656416
628,2,POINT (7.008423330184059 50.98463434711216),50.98463434711216,7.008423330184059
629,1,POINT (7.086677020165235 50.97401544752872),50.97401544752872,7.086677020165235
631,1,POINT (7.090185176578156 50.96718669983205),50.96718669983205,7.090185176578156
632,1,POINT (7.094285683203241 50.966023888453705),50.966023888453705,7.094285683203241
634,1,POINT (7.019047892796405 50.984850702418214),50.984850702418214,7.019047892796405
637,2,POINT (6.896287051874013 50.98127481743447),50.98127481743447,6.896287051874013
645,1,POINT (6.910392472096984 51.01921106370037),51.01921106370037,6.910392472096984
648,2,POINT (6.96530727284517 50.92198072199414),50.92198072199414,6.96530727284517
650,1,POINT (7.00549325732644 50.89238447849682),50.89238447849682,7.00549325732644
651,1,POINT (7.036619886136422 50.93877271341133),50.93877271341133,7.036619886136422
653,1,POINT (6.928833697356858 50.94343642198389),50.94343642198389,6.928833697356858
654,1,POINT (6.961647941273379 50.88119032448777),50.88119032448777,6.961647941273379
661,1,POINT (7.0246060376367065 50.96118586835773),50.96118586835773,7.0246060376367065
664,2,POINT (6.889339960335253 50.97032793205301),50.97032793205301,6.889339960335253
666,2,POINT (6.917381359284603 50.93265135299393),50.93265135299393,6.917381359284603
668,1,POINT (6.927558289840699 50.9228004407269),50.9228004407269,6.927558289840699
669,1,POINT (6.829189663405621 50.96938851578952),50.96938851578952,6.829189663405621
672,2,POINT (6.999643793159954 50.93573250177519),50.93573250177519,6.999643793159954
673,2,POINT (6.960566132368626 50.925207280014305),50.925207280014305,6.960566132368626
674,2,POINT (6.944645651149446 50.90905661410557),50.90905661410557,6.944645651149446
677,1,POINT (7.01895270177286 50.953214561937045),50.953214561937045,7.01895270177286
679,1,POINT (6.945328214985355 50.9844645570616),50.9844645570616,6.945328214985355
680,1,POINT (6.945303038147049 50.91162103106776),50.91162103106776,6.945303038147049
681,2,POINT (6.928849847404397 50.93869004407289),50.93869004407289,6.928849847404397
682,1,POINT (6.920115793841311 50.95055423263341),50.95055423263341,6.920115793841311
683,2,POINT (7.0411164434945075 50.86860293618828),50.86860293618828,7.0411164434945075
685,2,POINT (7.011156253640985 50.9453276797115),50.9453276797115,7.011156253640985
